gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
A1BG	NM_130786	3.00	4.00	6.00	2.00	0.00	4.00	137.00	175.00	143.00	104.00	120.00	139.00
A1BG-AS1	NR_015380	7.00	4.00	5.00	2.00	3.00	2.00	36.00	28.00	28.00	27.00	26.00	26.00
A1CF	NM_001198818,NM_001198819,NM_001198820,NM_014576,NM_138932,NM_138933	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	3.00	0.00	0.00
A2M	NM_000014	1.00	1.00	1.00	0.00	0.00	0.00	143.00	114.00	112.00	136.00	123.00	155.00
A2M-AS1	NR_026971	0.00	0.00	0.00	0.00	0.00	0.00	4.00	6.00	8.00	8.00	11.00	9.00
A2ML1	NM_001282424,NM_144670	10.00	10.00	16.00	7.00	6.00	9.00	194.00	183.00	162.00	240.00	218.00	249.00
A2MP1	NR_040112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	NM_001080438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A4GALT	NM_017436	317.00	303.00	279.00	1072.00	1045.00	1198.00	564.00	615.00	527.00	375.00	388.00	416.00
A4GNT	NM_016161	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AA06	NR_037584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AAAS	NM_001173466,NM_015665	275.00	206.00	222.00	379.00	315.00	377.00	1477.00	1716.00	1530.00	1288.00	1343.00	1555.00
AACS	NM_023928	120.00	97.00	98.00	155.00	149.00	173.00	667.00	816.00	732.00	801.00	800.00	857.00
AACSP1	NR_024035	0.00	0.00	0.00	0.00	0.00	0.00	17.00	15.00	9.00	11.00	6.00	9.00
AADAC	NM_001086	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL2	NM_207365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL2-AS1	NR_110202,NR_110203	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL3	NM_001103170,NR_111984	0.00	1.00	4.00	1.00	5.00	3.00	3.00	1.00	2.00	5.00	6.00	3.00
AADACL4	NM_001013630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACP1	NR_026915	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADAT	NM_001286682,NM_001286683,NM_016228,NM_182662	20.00	23.00	15.00	44.00	45.00	42.00	94.00	120.00	146.00	126.00	122.00	145.00
AAED1	NM_153698	15.00	7.00	6.00	8.00	10.00	5.00	62.00	47.00	32.00	55.00	39.00	33.00
AAGAB	NM_001271885,NM_001271886,NM_024666	90.00	109.00	119.00	161.00	135.00	140.00	573.00	568.00	576.00	552.00	485.00	505.00
AAK1	NM_014911	147.00	136.00	125.00	109.00	96.00	77.00	488.00	419.00	449.00	479.00	513.00	462.00
AAMDC	NM_024684	1.00	7.00	6.00	6.00	6.00	11.00	62.00	115.00	60.00	87.00	53.00	69.00
