name,group
DDX11L1,Non bivalent
LINC01128,Non bivalent
SAMD11,Always_up
KLHL17,Non bivalent
PLEKHN1,Non bivalent
ISG15,Non bivalent
AGRN,Non bivalent
B3GALT6,Non bivalent
PUSL1,Non bivalent
CPTP,Non bivalent
LOC148413,Non bivalent
VWA1,Non bivalent
ATAD3C,Non bivalent
ATAD3B,Non bivalent
ATAD3A,Non bivalent
MIB2,Non bivalent
MMP23B,Non bivalent
MMP23A,Non bivalent
GABRD,Non bivalent
PRKCZ,Non bivalent
SKI,Non bivalent
RER1,Non bivalent
FAM213B,Non bivalent
PRDM16,Always_up
ARHGEF16,Non bivalent
TPRG1L,Non bivalent
TP73,Pr_higher_than_Ni
DFFB,Non bivalent
AJAP1,Always_up
KCNAB2,Non bivalent
RNF207,Non bivalent
LINC00337,Non bivalent
ESPN,Always_up
ZBTB48,Non bivalent
PHF13,Non bivalent
THAP3,Non bivalent
CAMTA1,Non bivalent
VAMP3,Non bivalent
PER3,Non bivalent
PARK7,Non bivalent
H6PD,Non bivalent
SPSB1,Non bivalent
SLC25A33,Non bivalent
TMEM201,Non bivalent
PIK3CD,Always_up
NMNAT1,Non bivalent
RBP7,Pr_higher_than_Ni
UBE4B,Non bivalent
KIF1B,Non bivalent
PGD,Non bivalent
APITD1,Non bivalent
APITD1-CORT,Non bivalent
PEX14,Non bivalent
TARDBP,Non bivalent
UBIAD1,Non bivalent
PTCHD2,Non bivalent
FBXO44,Non bivalent
FBXO6,Non bivalent
DRAXIN,Non bivalent
AGTRAP,Non bivalent
CLCN6,Non bivalent
NPPA-AS1,Non bivalent
PLOD1,Non bivalent
MFN2,Non bivalent
MIIP,Non bivalent
TNFRSF8,Always_up
TNFRSF1B,Always_up
VPS13D,Non bivalent
AADACL3,Non bivalent
PRAMEF12,Non bivalent
PRAMEF1,Non bivalent
PRAMEF2,Non bivalent
PRAMEF7,Non bivalent
PRAMEF5,Non bivalent
PRAMEF15,Non bivalent
PRAMEF20,Non bivalent
PDPN,Always_up
PRDM2,Non bivalent
KAZN,Always_up
TMEM51,Always_up
EFHD2,Non bivalent
DNAJC16,Non bivalent
DDI2,Non bivalent
RSC1A1,Non bivalent
PLEKHM2,Non bivalent
SLC25A34,Non bivalent
FBLIM1,Non bivalent
SPEN,Non bivalent
CLCNKA,Non bivalent
CLCNKB,Non bivalent
SZRD1,Non bivalent
NECAP2,Non bivalent
MST1P2,Always_up
CROCC,Non bivalent
PADI3,Non bivalent
PADI6,Non bivalent
ARHGEF10L,Non bivalent
ACTL8,Ni_higher_than_Pr
PAX7,Always_up
MRTO4,Non bivalent
PQLC2,Non bivalent
MINOS1,Non bivalent
RPS14P3,Non bivalent
NBL1,Always_up
OTUD3,Non bivalent
UBXN10,Always_up
FAM43B,Always_up
CDA,Non bivalent
PINK1,Non bivalent
NBPF3,Non bivalent
ALPL,Non bivalent
ALPL,Non bivalent
LDLRAD2,Non bivalent
LINC00339,Non bivalent
CDC42,Non bivalent
ZBTB40,Non bivalent
EPHB2,Non bivalent
KDM1A,Non bivalent
ZNF436-AS1,Non bivalent
RPL11,Non bivalent
TCEB3,Non bivalent
PITHD1,Non bivalent
LYPLA2,Non bivalent
PNRC2,Non bivalent
GRHL3,Always_up
NIPAL3,Non bivalent
RCAN3,Non bivalent
SRRM1,Non bivalent
CLIC4,Non bivalent
TMEM50A,Non bivalent
TMEM57,Non bivalent
LDLRAP1,Non bivalent
MAN1C1,Non bivalent
SEPN1,Non bivalent
MTFR1L,Non bivalent
EXTL1,Non bivalent
PDIK1L,Non bivalent
FAM110D,Non bivalent
ZNF593,Non bivalent
CNKSR1,Non bivalent
CEP85,Non bivalent
SH3BGRL3,Non bivalent
CD52,Non bivalent
LIN28A,Non bivalent
DHDDS,Non bivalent
HMGN2,Non bivalent
RPS6KA1,Non bivalent
ARID1A,Non bivalent
PIGV,Non bivalent
ZDHHC18,Non bivalent
SFN,Non bivalent
NUDC,Non bivalent
TRNP1,Non bivalent
WDTC1,Non bivalent
TMEM222,Non bivalent
ACTG1P20,Non bivalent
SYTL1,Non bivalent
GPR3,Non bivalent
FAM76A,Non bivalent
STX12,Non bivalent
PPP1R8,Non bivalent
THEMIS2,Non bivalent
SMPDL3B,Non bivalent
XKR8,Non bivalent
ATPIF1,Non bivalent
SESN2,Non bivalent
MED18,Non bivalent
PHACTR4,Non bivalent
RCC1,Non bivalent
SNHG3,Non bivalent
TRNAU1AP,Non bivalent
RAB42,Non bivalent
