gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
A1BG	A1BG	231	250	332	274	191	248	389	401	174	154	430	125	223	160
A1BG-AS1	A1BG-AS1	26.909	5.304	25.093	0	28.902	9.718	33.766	41.099	52.025	0	31.788	9.348	27.991	23.419
A1CF	A1CF	0	0	0	0	0	0	0	0	0	0	11	0	0	0
A2M	A2M	10	0	5	0	3	24.923	10	3	0	0	4	9.742	0	6
A2M-AS1	A2M-AS1	3	25	10	5	0	6.077	0	6	25	0	10	8.258	12	0
A2ML1	A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	A2MP1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A3GALT2	A3GALT2	0	0	0	0	0	3	0	0	0	0	0	2	0	0
A4GALT	A4GALT	9	0	0	46	66	5	0	163	25	10	9	6	0	49
A4GNT	A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	165	77	227	38	34	69	62	129.001	94	47	154	178.999	204	19
AACS	AACS	128	112	120	46	33	77	83	74	235	90	136	80	149	73
AACSP1	AACSP1	0	0	0	0	0	0	0	0	0	6	0	0	0	0
AADAC	AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	AADAT	0	0	0	0	0	0	0	6	0	0	0	0	0	0
AAED1	AAED1	351	329	342	209	210	750	304	422	225	434	516	305	241	245
AAGAB	AAGAB	326.001	213	457	215	170	345	213	357	341	234	329	420	292	247
AAK1	AAK1	774	977	710	811	476	780	619	733	1298	880	1193	971	1300	726
AAMDC	AAMDC	29	13	49	0	0	5	18	6	18	7	14	18	13	3
AAMP	AAMP	661	136	638	147	135	237	200	205	159	127	318	473	354	162
AANAT	AANAT	3	6	4	0	0	1	0	0	0	0	4	4	7	7
AAR2	AAR2	514	455	504	299	368	614	460	469	414	472	740	442	596	521
AARD	AARD	1	0	1	0	0	0	17	4	0	2	2	0	2	6
AARS	AARS	233	46	175	60	14	52	24	75	58	30	126	162	145	72
AARS2	AARS2	101	53	135	67	58	116	109	105	120	78	148	123	205	128
AARSD1	AARSD1	208.03	116	235	99	148	115	63	92	107	65	194	136.893	172	112
AASDH	AASDH	63	125	156	46	29	136.001	124	101	185	148.999	198	109	123	130
AASDHPPT	AASDHPPT	292	230	228	195	220	333	421	264	226	223	553	255	303	366
AASS	AASS	30	14	70	4	12	23	27	37	18	41	75	27	47	13
AATF	AATF	596	501	874	345	359	365	367	390	423	307	473	554	576	365
AATK	AATK	286	35	116	38	11	93	27	188	32	48	28	157	64	41
AATK-AS1	AATK-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ABAT	297	36	72	52	18	8	25	30	48	6	56	219	54	49
ABCA1	ABCA1	1004.001	1022	277	922	337	1306	867	2276.999	1392	802	1015.999	690	635	926
ABCA10	ABCA10	15	14	6	0	6	10	8	21	12	8	21	12	25	32
