gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
A1BG	A1BG	9.289695	10.663707	10.641893	14.176005	9.205279	8.996688	17.265387	20.819822	10.241176	6.516592	14.496129	6.485519	11.573885	7.7949
A1BG-AS1	A1BG-AS1	0.867618	0.181754	0.646742	0	1.118214	0.283436	1.206341	1.715321	2.463297	0	0.860003	0.391117	1.166209	0.917178
A1CF	A1CF	0	0	0	0	0	0	0	0	0	0	0.061397	0	0	0
A2M	A2M	0.135808	0	0.054651	0	0.049038	0.296954	0.1519	0.053066	0	0	0.045684	0.162348	0	0.099596
A2M-AS1	A2M-AS1	0.093815	0.831043	0.250065	0.201533	0	0.171948	0	0.242955	1.148546	0	0.262428	0.335329	0.484976	0
A2ML1	A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	A2MP1	0	0	0	0	0	0	0	0	0	0	0	0.082709	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0.216682	0	0	0	0	0	0.203509	0	0
A4GALT	A4GALT	0.301684	0	0	2.180184	2.724974	0.166239	0	6.971177	1.229965	0.347088	0.27786	0.285677	0	2.18777
A4GNT	A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	6.343932	3.463818	6.946098	2.073567	1.728458	2.662898	2.900489	7.00075	5.282157	2.097402	4.953856	9.420435	10.595043	0.976014
AACS	AACS	2.574957	2.33506	2.136362	1.577588	0.821191	1.625236	2.249346	2.287211	7.19967	2.166361	2.732152	2.093675	4.548543	2.165803
AACSP1	AACSP1	0	0	0	0	0	0	0	0	0	0.199138	0	0	0	0
AADAC	AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	AADAT	0	0	0	0	0	0	0	0.253422	0	0	0	0	0	0
AAED1	AAED1	18.148125	17.78317	14.85842	13.729752	12.214891	32.978223	16.23854	27.429277	17.944353	22.146629	21.246681	20.011018	16.461636	14.439303
AAGAB	AAGAB	6.858715	4.817748	7.844492	5.894352	6.648277	6.34397	4.838257	9.668439	10.678892	5.687322	6.309108	13.780363	9.488454	7.4168
AAK1	AAK1	2.184942	2.952375	1.619474	2.968491	1.620155	2.012168	1.96511	2.704726	5.44887	2.639358	2.835831	3.634325	4.763766	2.514025
