BioSample	SRR	condition	treatment	21Name
SAMN25076933	SRR17657871	naive (t2iGoY)	none	Naive_R1
SAMN25076934	SRR17657872	naive (t2iGoY)	none	Naive_R2
SAMN25076935	SRR17657873	naive (t2iGoY)	none	Naive_R3
SAMN25076936	SRR17657874	naive (t2iGoY)	10 uM EZH2 for 7 days	Naive_EZH2i_R1
SAMN25076938	SRR17657875	naive (t2iGoY)	10 uM EZH2 for 7 days	Naive_EZH2i_R2
SAMN25076939	SRR17657876	naive (t2iGoY)	10 uM EZH2 for 7 days	Naive_EZH2i_R3
SAMN25076940	SRR17657877	primed	none	Primed_R1
SAMN25076941	SRR17657878	primed	none	Primed_R2
SAMN25076942	SRR17657879	primed	none	Primed_R3
SAMN25076943	SRR17657880	primed	10 uM EZH2 for 7 days	Primed_EZH2i_R1	
SAMN25076944	SRR17657881	primed	10 uM EZH2 for 7 days	Primed_EZH2i_R2
SAMN25076945	SRR17657882	primed	10 uM EZH2 for 7 days	Primed_EZH2i_R3
