gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
A1BG	NM_130786	3.00	2.00
A1BG-AS1	NR_015380	7.00	2.00
A1CF	NM_001198818,NM_001198819,NM_001198820,NM_014576,NM_138932,NM_138933	0.00	0.00
A2M	NM_000014	1.00	0.00
A2M-AS1	NR_026971	0.00	0.00
A2ML1	NM_001282424,NM_144670	10.00	7.00
A2MP1	NR_040112	0.00	0.00
A3GALT2	NM_001080438	0.00	0.00
A4GALT	NM_017436	317.00	1072.00
A4GNT	NM_016161	0.00	0.00
AA06	NR_037584	0.00	0.00
AAAS	NM_001173466,NM_015665	275.00	379.00
AACS	NM_023928	120.00	155.00
AACSP1	NR_024035	0.00	0.00
AADAC	NM_001086	1.00	0.00
AADACL2	NM_207365	0.00	0.00
AADACL2-AS1	NR_110202,NR_110203	0.00	0.00
AADACL3	NM_001103170,NR_111984	0.00	1.00
AADACL4	NM_001013630	0.00	0.00
AADACP1	NR_026915	0.00	0.00
AADAT	NM_001286682,NM_001286683,NM_016228,NM_182662	20.00	44.00
AAED1	NM_153698	15.00	8.00
AAGAB	NM_001271885,NM_001271886,NM_024666	90.00	161.00
AAK1	NM_014911	147.00	109.00
AAMDC	NM_024684	1.00	6.00
AAMP	NM_001087,NM_001302545	245.00	369.00
AANAT	NM_001088,NM_001166579,NR_110548	0.00	0.00
AAR2	NM_001271874,NM_015511	151.00	233.00
AARD	NM_001025357	4.00	0.00
AARS	NM_001605	342.00	658.00
AARS2	NM_020745	140.00	411.00
AARSD1	NM_001261434	44.99	64.26
AASDH	NM_001286668,NM_001286669,NM_001286670,NM_001286671,NM_001286672,NM_181806	21.00	52.00
AASDHPPT	NM_015423	84.00	157.00
AASS	NM_005763	60.00	255.00
AATBC	NR_026961	0.00	0.00
AATF	NM_012138	147.00	250.00
AATK	NM_001080395,NM_004920	1.00	0.00
AATK-AS1	NR_027255	0.00	0.00
ABALON	NR_131907	0.00	2.00
ABAT	NM_000663,NM_001127448,NM_020686	23.00	3.00
ABCA1	NM_005502	115.00	354.00
ABCA10	NM_080282	0.00	0.00
ABCA11P	NR_002451	7.00	9.00
ABCA12	NM_015657,NM_173076,NR_103740	1.00	1.00
ABCA13	NM_152701	9.00	21.00
ABCA17P	NR_003574	0.00	1.00
ABCA2	NM_001606,NM_212533	26.00	74.00
ABCA3	NM_001089	9.00	20.00
ABCA4	NM_000350	28.00	2.00
ABCA5	NM_018672,NM_172232	6.00	3.00
ABCA6	NM_080284	0.00	0.00
ABCA7	NM_019112	29.00	72.00
ABCA8	NM_001288985,NM_001288986,NM_007168	0.00	0.00
ABCA9	NM_080283	0.00	0.00
ABCA9-AS1	NR_126414	0.00	0.00
ABCB1	NM_000927	1.00	0.00
ABCB10	NM_012089	61.00	132.00
ABCB11	NM_003742	0.00	0.00
ABCB4	NM_000443,NM_018849,NM_018850	0.00	0.00
ABCB5	NM_001163941,NM_001163942,NM_001163993,NM_178559	0.00	0.00
ABCB6	NM_005689	38.00	98.00
ABCB7	NM_001271696,NM_001271697,NM_001271698,NM_001271699,NM_004299	51.00	75.00
ABCB8	NM_001282291,NM_001282292,NM_001282293,NM_007188	213.00	505.00
ABCB9	NM_001243013,NM_001243014,NM_019624,NM_019625,NM_203444	18.00	20.00
ABCC1	NM_004996_1	111.00	177.00
ABCC10	NM_001198934,NM_033450	64.00	130.00
ABCC11	NM_032583,NM_033151,NM_145186	0.00	0.00
ABCC12	NM_033226	0.00	0.00
ABCC13	NR_003087,NR_003088	4.00	28.00
ABCC2	NM_000392	9.00	13.00
ABCC3	NM_001144070,NM_003786	0.00	0.00
ABCC4	NM_001105515,NM_001301829,NM_001301830,NM_005845	48.00	19.00
ABCC5	NM_001023587,NM_005688	135.00	160.00
ABCC5-AS1	NR_046570	0.00	0.00
ABCC6	NM_001079528,NM_001171	1.00	0.00
ABCC6P1	NR_003569	0.00	1.00
ABCC6P2	NR_023387_1	0.00	0.00
ABCC8	NM_000352,NM_001287174	0.00	0.00
ABCC9	NM_005691,NM_020297	8.00	0.00
ABCD1	NM_000033	50.00	99.00
ABCD2	NM_005164	0.00	0.00
ABCD3	NM_001122674,NM_002858	72.00	119.00
ABCD4	NM_005050,NR_003256	63.00	104.00
ABCE1	NM_001040876,NM_002940	312.00	528.00
ABCF1	NM_001025091_3,NM_001090_4	388.00	580.00
ABCF2	NM_005692,NM_007189	288.00	457.00
ABCF3	NM_018358	119.00	217.00
ABCG1	NM_004915,NM_016818,NM_207174,NM_207627,NM_207628,NM_207629	0.00	1.00
ABCG2	NM_001257386,NM_004827	168.00	52.00
